month,IssueCommentEvent,IssuesEvent,WatchEvent,CreateEvent,PullRequestEvent,GollumEvent,ForkEvent,PushEvent,DeleteEvent,PullRequestReviewCommentEvent,CommitCommentEvent,MemberEvent
2015-09,6708,885,2868,85,924,36,636,579,52,1239,48,3
2015-10,7258,985,1984,93,861,38,543,598,82,1199,31,5
2015-11,7391,873,1763,68,718,9,499,499,42,1545,75,2
2015-12,4767,616,1685,42,631,13,592,503,30,911,43,15
2016-01,7634,774,1952,62,864,20,612,583,45,1381,38,3
2016-02,8077,749,1676,81,810,27,540,644,41,1654,57,9
